ID_Cliente,Edad,Género,Ítem_Comprado,Categoría,Cantidad_Pagada (dólares),Ubicación,Talla,Color,Temporada,Calificación_Reseña,Suscripción,Tipo_Envío,Descuento,Compras_Anteriores,Tipo_Pago,Frecuencia_Compra
1,55,Masculino,Blusa,Ropa,"$53,00",Kentucky,L,Gris,Invierno,"3,1",Sí,Express,Sí,14,Venmo,Quincenal
2,19,Masculino,Jersey,Ropa,"$64,00",Maine,L,Granate,Invierno,"3,1",Sí,Express,Sí,2,Dinero,Quincenal
3,50,Masculino,Vaqueros,Ropa,"$73,00",Massachusetts,S,Granate,Primavera,"3,1",Sí,Envío gratis,Sí,23,Tarjeta de crédito,Semanalmente
4,21,Masculino,Sandalias,Calzado,"$90,00",Rhode Island,M,Granate,Primavera,"3,5",Sí,Entrega al día siguiente,Sí,49,PayPal,Semanalmente
5,45,Masculino,Blusa,Ropa,"$49,00",Oregon,M,Turquesa,Primavera,"2,7",Sí,Envío gratis,Sí,31,PayPal,Anualmente
6,46,Masculino,Zapatillas,Calzado,"$20,00",Wyoming,M,Blanco,Verano,"2,9",Sí,Estándar,Sí,14,Venmo,Semanalmente
7,63,Masculino,Camisa,Ropa,"$85,00",Montana,M,Gris,Otoño,"3,2",Sí,Envío gratis,Sí,49,Dinero,Trimestral
8,27,Masculino,Bermudas,Ropa,"$34,00",Louisiana,L,Carbón,Invierno,"3,2",Sí,Envío gratis,Sí,19,Tarjeta de crédito,Semanalmente
9,26,Masculino,Abrigo,Ropa de abrigo,"$97,00",West Virginia,L,Plata,Verano,"2,6",Sí,Express,Sí,8,Venmo,Anualmente
10,57,Masculino,Bolso,Accesorios,"$31,00",Missouri,M,Rosa,Primavera,"4,8",Sí,Envío en 2 días,Sí,4,Dinero,Trimestral
11,53,Masculino,Zapatos,Calzado,"$34,00",Arkansas,L,Púrpura,Otoño,"4,1",Sí,Recogida en tienda,Sí,26,Transferencia bancaria,Quincenal
12,30,Masculino,Bermudas,Ropa,"$68,00",Hawaii,S,Aceituna,Invierno,"4,9",Sí,Recogida en tienda,Sí,10,Transferencia bancaria,Quincenal
13,61,Masculino,Abrigo,Ropa de abrigo,"$72,00",Delaware,M,Oro,Invierno,"4,5",Sí,Express,Sí,37,Venmo,Quincenal
14,65,Masculino,Traje,Ropa,"$51,00",New Hampshire,M,Violeta,Primavera,"4,7",Sí,Express,Sí,31,PayPal,Semanalmente
15,64,Masculino,Abrigo,Ropa de abrigo,"$53,00",New York,L,Verde azulado,Invierno,"4,7",Sí,Envío gratis,Sí,34,Tarjeta de débito,Semanalmente
16,64,Masculino,Falda,Ropa,"$81,00",Rhode Island,M,Verde azulado,Invierno,"2,8",Sí,Recogida en tienda,Sí,8,PayPal,Mensual
17,25,Masculino,Gafas de sol,Accesorios,"$36,00",Alabama,S,Gris,Primavera,"4,1",Sí,Entrega al día siguiente,Sí,44,Tarjeta de débito,Quincenal
18,53,Masculino,Traje,Ropa,"$38,00",Mississippi,XL,Lavanda,Invierno,"4,7",Sí,Envío en 2 días,Sí,36,Venmo,Trimestral
19,52,Masculino,Jersey,Ropa,"$48,00",Montana,S,Negro,Verano,"4,6",Sí,Envío gratis,Sí,17,Dinero,Semanalmente
20,66,Masculino,Pantalones,Ropa,"$90,00",Rhode Island,M,Verde,Verano,"3,3",Sí,Estándar,Sí,46,Tarjeta de débito,Quincenal
21,21,Masculino,Pantalones,Ropa,"$51,00",Louisiana,M,Negro,Invierno,"2,8",Sí,Express,Sí,50,Dinero,Trimestral
22,31,Masculino,Pantalones,Ropa,"$62,00",North Carolina,M,Carbón,Invierno,"4,1",Sí,Recogida en tienda,Sí,22,Tarjeta de débito,Trimestral
23,56,Masculino,Pantalones,Ropa,"$37,00",California,M,Durazno,Verano,"3,2",Sí,Recogida en tienda,Sí,32,Tarjeta de débito,Anualmente
24,31,Masculino,Pantalones,Ropa,"$88,00",Oklahoma,XL,Blanco,Invierno,"4,4",Sí,Express,Sí,40,Tarjeta de crédito,Semanalmente
25,18,Masculino,Chaqueta,Ropa de abrigo,"$22,00",Florida,M,Verde,Otoño,"2,9",Sí,Recogida en tienda,Sí,16,Tarjeta de débito,Semanalmente
26,18,Masculino,Sudadera,Ropa,"$25,00",Texas,M,Plata,Verano,"3,6",Sí,Express,Sí,14,PayPal,Anualmente
27,38,Masculino,Joyas,Accesorios,"$20,00",Nevada,M,Rojo,Primavera,"3,6",Sí,Entrega al día siguiente,Sí,13,Tarjeta de crédito,Anualmente
28,56,Masculino,Bermudas,Ropa,"$56,00",Kentucky,L,Cian,Verano,"5,0",Sí,Entrega al día siguiente,Sí,7,Transferencia bancaria,Trimestral
29,54,Masculino,Bolso,Accesorios,"$94,00",North Carolina,M,Gris,Otoño,"4,4",Sí,Envío gratis,Sí,41,PayPal,Trimestral
30,31,Masculino,Traje,Ropa,"$48,00",Wyoming,S,Negro,Otoño,"4,1",Sí,Recogida en tienda,Sí,14,Tarjeta de crédito,Semanalmente
31,57,Masculino,Joyas,Accesorios,"$31,00",North Carolina,L,Negro,Invierno,"4,7",Sí,Estándar,Sí,16,Tarjeta de crédito,Mensual
32,33,Masculino,Traje,Ropa,"$79,00",West Virginia,L,Marrón,Invierno,"4,7",Sí,Recogida en tienda,Sí,45,Venmo,Mensual
33,36,Masculino,Chaqueta,Ropa de abrigo,"$67,00",Kansas,M,Plata,Verano,"4,9",Sí,Envío gratis,Sí,37,Venmo,Anualmente
34,54,Masculino,Pantalones,Ropa,"$38,00",Colorado,L,Verde,Verano,"3,3",Sí,Recogida en tienda,Sí,45,Dinero,Trimestral
35,36,Masculino,Camiseta,Ropa,"$91,00",North Dakota,L,Violeta,Primavera,"4,6",Sí,Envío en 2 días,Sí,38,PayPal,Trimestral
36,54,Masculino,Blusa,Ropa,"$33,00",Massachusetts,M,Cian,Verano,"4,0",Sí,Envío en 2 días,Sí,48,Tarjeta de crédito,Quincenal
37,35,Masculino,Camiseta,Ropa,"$69,00",Illinois,M,Granate,Invierno,"4,6",Sí,Envío gratis,Sí,44,PayPal,Quincenal
38,35,Masculino,Vaqueros,Ropa,"$45,00",Indiana,S,Cian,Verano,"2,8",Sí,Recogida en tienda,Sí,10,PayPal,Semanalmente
39,29,Masculino,Traje,Ropa,"$37,00",Florida,M,Rojo,Invierno,"3,7",Sí,Envío en 2 días,Sí,44,Venmo,Trimestral
40,70,Masculino,Pantalones,Ropa,"$60,00",Arizona,S,Turquesa,Verano,"4,2",Sí,Express,Sí,18,Tarjeta de crédito,Mensual
